Tumor_Barcode	CLS_clonal_early	CLS_clonal_late	CLS_clonal_NA	CLS_subclonal
NSLC-0159-T01	0.015362106803218726	NA	0.7110460863204097	0.25457205559619606
NSLC-0160-T01	0.3910355486862442	0.095311695002576	0.30602782071097373	0.19165378670788252
NSLC-0161-T01	0.0028503562945368173	NA	0.8969121140142517	0.05178147268408551
NSLC-0162-T01	NA	NA	0.4354066985645933	0.4665071770334928
NSLC-0163-T01	0.44203470031545744	0.2233832807570978	0.0053233438485804415	0.3083596214511041
NSLC-0164-T01	NA	NA	0.2510602205258694	0.724342663273961
NSLC-0165-T01	NA	NA	0.11576227390180878	0.8677002583979329
NSLC-0166-T01	0.5258056699781924	0.17228010661497456	0.10613036103707293	0.18197237702931912
NSLC-0167-T03	0.07064803049555274	0.44218551461245237	0.413722998729352	0.059212198221092756
NSLC-0168-T01	0.05089545384968621	0.04461962345017603	0.854125210469922	0.04086943211388336
NSLC-0169-T01	0.5957315187132695	0.1954840705227343	0.030621713578719456	0.12186823383854005
NSLC-0170-T01	0.06013453278223519	0.04724856147175622	0.0563254720803955	0.8233244185104142
NSLC-0171-T01	0.3974641675854465	0.27067254685777287	0.25826901874310915	0.05953693495038589
NSLC-0172-T01	0.32800216860937925	0.07400379506641366	0.05421523448088913	0.4930875576036866
NSLC-0173-T01	0.010936431989063569	0.0707830181514392	0.11574390521758943	0.7908407382091592
NSLC-0174-T01	0.038632045598480054	0.0015832805573147563	0.8514882837238759	0.08138062064597847
NSLC-0176-T01	0.04925723221266615	0.3708254216463755	0.4802859376745225	0.0824304702334413
NSLC-0177-T01	0.8234877962504422	0.049522461973823845	0.07463742483197736	0.007428369296073576
NSLC-0178-T01	0.42722414335114745	0.20512417478780257	0.3046211883055643	0.008645080163470606
NSLC-0180-T01	0.01108179419525066	0.0014511873350923482	0.5464379947229552	0.42321899736147756
NSLC-0181-T01	0.4209893507385778	0.3885262796289935	0.12332531776021985	0.050326348333905875
NSLC-0183-T01	0.02410527610380027	0.0017218054359857337	0.10097159021030623	0.8562292460951912
NSLC-0184-T01	0.10090842131107292	0.16204272035354775	0.4694328504787626	0.06776331942057451
NSLC-0185-T01	0.007282483710233806	0.0030663089306247606	0.854733614411652	0.08853967037178996
